fold_id,train_start,train_end,test_start,test_end,n_train_sessions,n_test_sessions,fold_alpha,fold_beta,selected_entry_z,selected_exit_z,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
0,2014-12-31,2017-01-01,2017-01-03,2017-12-29,507,251,5.638957056614132,0.8199467784175651,0.5,0.25,2017-01-03,2017-12-29,251,2855.362246210412,1632.1993354507508,0.01266183186971101,0.012712277415008662,0.029230472387739286,0.7608724230477465,0.4348981174981225,-0.021358369502858965,0.5951895070130253,10,0.9,18.1,19.07569721115538,0.7211155378486056,2.0,0.5
1,2014-12-31,2018-01-01,2018-01-02,2018-12-31,758,252,5.84073950616105,0.8182149078213701,0.5,0.0,2018-01-02,2018-12-31,252,-1851.7567535991964,-3574.6814989657487,-0.02773069143247213,-0.02773069143247213,0.05440026208376769,-0.2642113302508791,-0.5097529013696903,-0.053543924388170905,-0.5179054719903662,5,0.6,48.2,9.0,0.9563492063492064,2.0,0.5
2,2014-12-31,2019-01-01,2019-01-02,2019-12-31,1010,252,4.868781201442999,0.8372189499903919,2.0,0.0,2019-01-02,2019-12-31,252,7244.75897662424,6464.304819077452,0.050147024934989036,0.050147024934989036,0.03022833416054486,1.8554693900901584,1.6589410672997913,-0.0245503022159832,2.0426235283711245,3,1.0,40.0,5.0,0.47619047619047616,2.0,0.5
3,2014-12-31,2020-01-01,2020-01-02,2020-12-31,1262,251,5.515184673136929,0.8208414389812888,2.25,0.0,2020-01-02,2020-12-31,251,-1236.1524926912562,-1402.2912895814643,-0.010878313791334393,-0.010921653686917398,0.6203470204413204,-0.015520067356309902,-0.017605716360413304,-0.5057546910649641,-0.021594764971768723,1,0.0,54.0,2.00796812749004,0.2151394422310757,2.0,0.5
4,2014-12-31,2021-01-01,2021-01-04,2021-12-31,1513,253,2.327759955262078,0.8730573920884738,1.0,0.0,2021-01-04,2021-12-31,253,3644.9484526992746,2041.7368087859895,0.015838830241839994,0.01577622616973786,0.041641957607366664,0.6751912336802921,0.37885409515298507,-0.03892167679303904,0.4053326441619125,6,0.6666666666666666,34.166666666666664,10.956521739130435,0.8102766798418972,2.0,0.5
5,2014-12-31,2022-01-01,2022-01-03,2022-12-30,1766,251,-0.1608107197023685,0.925807565888124,0.5,0.0,2022-01-03,2022-12-30,251,19875.194317846395,17020.200642277214,0.13203468120623066,0.13256071579270967,0.11320980971665451,1.3686782835130078,1.1709295875020664,-0.041819096890582386,3.1698607968399766,10,0.9,22.7,19.07569721115538,0.9043824701195219,2.0,0.5
6,2014-12-31,2023-01-01,2023-01-03,2023-12-29,2017,251,-2.4942808943729062,0.968749157323479,0.75,0.25,2023-01-03,2023-12-29,251,683.7382362358107,-1115.8443314239516,-0.008656193523910716,-0.008690680350699207,0.03917678237591577,0.1361603937324306,-0.22183241766281117,-0.022552213567441415,-0.3853581966448706,5,0.4,37.2,10.0398406374502,0.7410358565737052,2.0,0.5
7,2014-12-31,2024-01-01,2024-01-02,2024-12-31,2268,252,-2.6683315665259215,0.9722439403390538,0.75,0.25,2024-01-02,2024-12-31,252,9081.634089491416,7243.145358094247,0.05618890213966415,0.05618890213966415,0.029848033278557604,2.357698705364759,1.8824993129456689,-0.011772183953148052,4.7730227766818425,13,0.9230769230769231,11.076923076923077,24.0,0.5714285714285714,2.0,0.5
8,2014-12-31,2025-01-01,2025-01-02,2025-12-31,2520,251,-2.796742943699588,0.9754523516212199,0.75,0.25,2025-01-02,2025-12-31,251,7452.923988735387,5668.889925760086,0.043976571714538934,0.0441517771795371,0.035158310351956115,1.6488976331609142,1.2557991762843803,-0.012227132844167543,3.6109673250665555,12,0.9166666666666666,15.166666666666666,22.08764940239044,0.7250996015936255,2.0,0.5
9,2014-12-31,2026-01-01,2026-01-02,2026-06-30,2771,123,-2.757077204581109,0.9763691359993006,0.75,0.25,2026-01-02,2026-06-30,123,23439.600088357012,21976.132884561983,0.17048046380554788,0.34927704779673224,0.15201084643917268,2.4536499027940555,2.2977113540150964,-0.04946062358826553,7.0617194539293635,10,1.0,8.8,40.97560975609756,0.7154471544715447,2.0,0.5
