,value
month_1_effect,0.009373832126531995
month_2_effect,-0.04599372165905441
month_3_effect,0.0321362886310561
month_4_effect,-0.043096738989365814
month_5_effect,0.034480573444960895
month_6_effect,0.030669624239265034
month_7_effect,0.004770397182413998
month_8_effect,-0.030571214559873414
month_9_effect,0.011060822377147929
month_10_effect,-0.025357448114038537
month_11_effect,0.010200069610255286
month_12_effect,0.012620474415029266
month_1_pvalue,0.9268881350340418
month_2_pvalue,0.6620642135530305
month_3_pvalue,0.7434635153434653
month_4_pvalue,0.6681000402718026
month_5_pvalue,0.7305430696449853
month_6_pvalue,0.759808044661033
month_7_pvalue,0.9635281252407987
month_8_pvalue,0.764272037750787
month_9_pvalue,0.9170206333165206
month_10_pvalue,0.8039613101691468
month_11_pvalue,0.923457390004123
month_12_pvalue,0.9039179191007173
overall_fpvalue,0.999971874594672
significant_months,
n_obs,2893
