fold_id,test_start,test_end,n_train_obs,overall_fpvalue,n_significant_months,significant_months,month_1_effect,month_1_pvalue,month_2_effect,month_2_pvalue,month_3_effect,month_3_pvalue,month_4_effect,month_4_pvalue,month_5_effect,month_5_pvalue,month_6_effect,month_6_pvalue,month_7_effect,month_7_pvalue,month_8_effect,month_8_pvalue,month_9_effect,month_9_pvalue,month_10_effect,month_10_pvalue,month_11_effect,month_11_pvalue,month_12_effect,month_12_pvalue
0,2017-01-03,2017-12-29,506,0.27267791804941266,2,"2,3",-0.07595684291711302,0.3560239397042854,-0.21186973354185676,0.010258426462450655,0.15358555256124956,0.04779371132646403,0.015381635036715163,0.8443460862684848,0.06775136923772503,0.3985764653313635,0.0074988397785423,0.922864371445934,-0.046351831125377066,0.5541451409832704,-0.0030053004923607796,0.969045785951607,0.047464715478270136,0.5493893052281974,0.018658260103113576,0.81175748147793,-0.02404005888321316,0.7644608676984593,0.045595255263111395,0.5606287806501489
1,2018-01-02,2018-12-31,757,0.4193888626859925,1,2,-0.04514681314622648,0.4389643794777236,-0.13740363416788706,0.01971940518009583,0.09331992470148169,0.08848208562743637,0.01345158727113562,0.813098183327724,0.05498129972874555,0.33013298531123614,-0.00680272187862991,0.9018172085779702,-0.026111887357763014,0.6436396259901572,-0.0419262442509076,0.4437262773704905,0.034435409486352035,0.5450534270090842,-0.014644925617659513,0.7921201278168138,0.013003358932374861,0.8192162819678098,0.013456761936960361,0.8115539920318692
2,2019-01-02,2019-12-31,1009,0.7175980417295311,0,,-0.004032497419564702,0.9372579139633446,-0.09096842263397442,0.0817146325787157,0.05748827221200062,0.23936632949006387,-0.014682277757010559,0.7703436063768705,-0.005000054257013928,0.9198617640500373,0.05818938828794272,0.23636155025495184,-0.025963510442118285,0.6035480959640463,-0.05637072112061077,0.24331404899338377,0.007699530563301053,0.8797901357754838,-0.020630007737231244,0.67277127775809,0.024475934259065375,0.6265186211072318,0.01017711781954883,0.8396413020888082
3,2020-01-02,2020-12-31,1261,0.4664759906425854,1,2,0.011835242518949999,0.787687014347545,-0.09277391873250915,0.0397368407138025,0.06184469179591347,0.1439145399754219,-0.024391118137736877,0.5733095355132537,-0.002787505801895073,0.9479442761092811,0.0687102068029708,0.10772843879848402,-0.023491181176592137,0.5839684501415161,-0.02484832574936003,0.5515797300817581,-0.018788734784224687,0.6689895304342215,-0.010534628380628068,0.8015766690135652,0.026874513626891583,0.5368874657610576,0.013115233229190074,0.7620112378354048
4,2021-01-04,2021-12-31,1512,0.9999960530088682,0,,0.006870893162525586,0.9713651874512697,-0.07835070560161733,0.6923448573945634,0.06649104253907247,0.7188834366754894,-0.06257708331668588,0.7407084233021172,0.04156612958682829,0.8246560023731265,0.06085796234133199,0.7446788768532582,-0.028783683338487565,0.877586404501102,-0.01622949369874841,0.9294563673156535,-0.000550141693746245,0.997706765521038,-0.020040838023939626,0.9129495355484852,0.021376758411451632,0.9107149678987335,0.005738692246079136,0.9756933260634262
5,2022-01-03,2022-12-30,1765,0.9999966689964613,0,,0.009646458748874067,0.9533857022091484,-0.06597646548871089,0.6978024770292481,0.046935595205331804,0.7662837706442166,-0.04449482491824236,0.7830826623000455,0.041554040415729826,0.7970947862415477,0.05794568755773431,0.7172279510925095,-0.023337137859731308,0.8844151201463691,-0.033869007530170164,0.8296220947946087,0.00750120109325322,0.9634879508641916,0.005233868468598971,0.9735580945754776,-0.004423204150068424,0.978390025838022,0.009589221324270121,0.9525270010463184
6,2023-01-03,2023-12-29,2016,0.9999995558984207,0,,0.019318917135872058,0.8956760286077811,-0.06378089373513346,0.6740288651156529,0.01186072340485774,0.932731090541019,-0.008264691976672678,0.9544402891383442,0.004674484380667346,0.9741449902447484,0.04449630596964299,0.7556106962819364,-0.00030325680056272203,0.998317380125688,-0.039487516351989924,0.7780884611693035,0.012657091226126514,0.9309054214079333,-0.009137356867342412,0.9484451787728216,0.006329521829640669,0.9653096795445261,0.012795323961913116,0.9290987520891346
7,2024-01-02,2024-12-31,2267,0.9999984865077304,0,,0.0119280133718077,0.9276029582105728,-0.058388203457451965,0.6655234404282916,0.023091174054267506,0.8533096586160527,-0.003738401628907262,0.9769082347009227,-0.002255638137034263,0.9859545765177393,0.03894991493581147,0.7599251476405866,0.006430287970441515,0.9600799618213263,-0.03216873686724955,0.7962325611363004,0.021906245247533738,0.8663892237158439,-0.034010764197324926,0.7869433813885874,0.012735474111870163,0.9216601746154928,0.008337812768191972,0.9482525337040725
8,2025-01-02,2025-12-31,2519,0.9999980239027315,0,,0.014543055847560564,0.9019670230153196,-0.04659688111209481,0.7011524120388937,0.02075864271966836,0.8544152280543966,-0.013288716553910507,0.9088521724899575,0.005711321581558026,0.9604755975872405,0.03903657007396906,0.7354278249414395,0.008327645821709334,0.9425320321905265,-0.03198081119934382,0.7759495827576031,0.018040750277039556,0.8779597173384064,-0.031659016812819574,0.7796031659623703,0.011628304943260899,0.9207731031030767,0.01222202797834623,0.9159407960646356
9,2026-01-02,2026-06-30,2770,0.9999977829567419,0,,0.012303739634068923,0.9087291507433148,-0.04229666787215065,0.7021349039365563,0.01828086528080331,0.8594494030304471,-0.020526416078976872,0.8459913455135135,0.01769186931582302,0.8661886886689292,0.03397753468837057,0.7472889986185939,0.0047703971824139615,0.9637609725191515,-0.03057121455987356,0.7657339041016902,0.011060822377148219,0.9175488689029696,-0.025357448114038568,0.8051885033674798,0.010200069610255396,0.9239449111726159,0.012620474415029271,0.9045288150662575
